# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bottom	1.422363e-01	1.422363e-01	1.422363e-01
0             	top	1.422363e-01	1.422363e-01	1.422363e-01
5             	bottom	5.522376e-02	5.533012e-02	5.528150e-02
5             	top	5.522490e-02	5.533212e-02	5.528340e-02
10            	bottom	2.489561e+00	2.489800e+00	2.489684e+00
10            	top	2.489607e+00	2.489848e+00	2.489731e+00
15            	bottom	3.549099e+00	3.549215e+00	3.549159e+00
15            	top	3.549127e+00	3.549244e+00	3.549188e+00
20            	bottom	4.071392e+00	4.071470e+00	4.071432e+00
20            	top	4.071419e+00	4.071498e+00	4.071460e+00
25            	bottom	4.416175e+00	4.416223e+00	4.416200e+00
25            	top	4.416193e+00	4.416242e+00	4.416218e+00
30            	bottom	4.637130e+00	4.637162e+00	4.637147e+00
30            	top	4.637143e+00	4.637176e+00	4.637161e+00
35            	bottom	4.780463e+00	4.780483e+00	4.780475e+00
35            	top	4.780475e+00	4.780494e+00	4.780487e+00
40            	bottom	4.864971e+00	4.864995e+00	4.864985e+00
40            	top	4.864983e+00	4.865007e+00	4.864997e+00
45            	bottom	4.910711e+00	4.910752e+00	4.910739e+00
45            	top	4.910722e+00	4.910763e+00	4.910751e+00
50            	bottom	4.943724e+00	4.943742e+00	4.943737e+00
50            	top	4.943735e+00	4.943753e+00	4.943748e+00
55            	bottom	4.961561e+00	4.961604e+00	4.961583e+00
55            	top	4.961573e+00	4.961616e+00	4.961595e+00
60            	bottom	4.975492e+00	4.975499e+00	4.975497e+00
60            	top	4.975504e+00	4.975512e+00	4.975510e+00
65            	bottom	4.991549e+00	4.991565e+00	4.991560e+00
65            	top	4.991559e+00	4.991576e+00	4.991571e+00
70            	bottom	4.999547e+00	4.999564e+00	4.999557e+00
70            	top	4.999557e+00	4.999575e+00	4.999567e+00
75            	bottom	5.005545e+00	5.005562e+00	5.005556e+00
75            	top	5.005556e+00	5.005573e+00	5.005567e+00
80            	bottom	5.010416e+00	5.010434e+00	5.010427e+00
80            	top	5.010427e+00	5.010444e+00	5.010438e+00
85            	bottom	5.013567e+00	5.013585e+00	5.013578e+00
85            	top	5.013578e+00	5.013596e+00	5.013589e+00
90            	bottom	5.016161e+00	5.016179e+00	5.016172e+00
90            	top	5.016172e+00	5.016190e+00	5.016183e+00
95            	bottom	5.017866e+00	5.017883e+00	5.017877e+00
95            	top	5.017876e+00	5.017894e+00	5.017888e+00
100           	bottom	5.019216e+00	5.019234e+00	5.019227e+00
100           	top	5.019227e+00	5.019245e+00	5.019238e+00
105           	bottom	5.020175e+00	5.020192e+00	5.020186e+00
105           	top	5.020186e+00	5.020203e+00	5.020197e+00
110           	bottom	5.020946e+00	5.020964e+00	5.020958e+00
110           	top	5.020957e+00	5.020975e+00	5.020969e+00
115           	bottom	5.021465e+00	5.021483e+00	5.021477e+00
115           	top	5.021476e+00	5.021494e+00	5.021488e+00
120           	bottom	5.021851e+00	5.021868e+00	5.021862e+00
120           	top	5.021861e+00	5.021879e+00	5.021873e+00
125           	bottom	5.022139e+00	5.022157e+00	5.022151e+00
125           	top	5.022150e+00	5.022168e+00	5.022162e+00
130           	bottom	5.022332e+00	5.022349e+00	5.022343e+00
130           	top	5.022342e+00	5.022360e+00	5.022354e+00
135           	bottom	5.022524e+00	5.022542e+00	5.022535e+00
135           	top	5.022535e+00	5.022553e+00	5.022546e+00
140           	bottom	5.022601e+00	5.022618e+00	5.022612e+00
140           	top	5.022612e+00	5.022629e+00	5.022623e+00
145           	bottom	5.022716e+00	5.022734e+00	5.022728e+00
145           	top	5.022727e+00	5.022745e+00	5.022739e+00
150           	bottom	5.022736e+00	5.022753e+00	5.022747e+00
150           	top	5.022746e+00	5.022764e+00	5.022758e+00
155           	bottom	5.022793e+00	5.022811e+00	5.022805e+00
155           	top	5.022804e+00	5.022822e+00	5.022816e+00
160           	bottom	5.022851e+00	5.022869e+00	5.022863e+00
160           	top	5.022862e+00	5.022880e+00	5.022873e+00
165           	bottom	5.022870e+00	5.022888e+00	5.022882e+00
165           	top	5.022881e+00	5.022899e+00	5.022893e+00
170           	bottom	5.022870e+00	5.022888e+00	5.022882e+00
170           	top	5.022881e+00	5.022899e+00	5.022893e+00
175           	bottom	5.022928e+00	5.022946e+00	5.022939e+00
175           	top	5.022939e+00	5.022957e+00	5.022950e+00
180           	bottom	5.022928e+00	5.022946e+00	5.022939e+00
180           	top	5.022939e+00	5.022957e+00	5.022950e+00
185           	bottom	5.022928e+00	5.022946e+00	5.022939e+00
185           	top	5.022939e+00	5.022957e+00	5.022950e+00
190           	bottom	5.022928e+00	5.022946e+00	5.022939e+00
190           	top	5.022939e+00	5.022957e+00	5.022950e+00
195           	bottom	5.022928e+00	5.022946e+00	5.022939e+00
195           	top	5.022939e+00	5.022957e+00	5.022950e+00
200           	bottom	5.022928e+00	5.022946e+00	5.022939e+00
200           	top	5.022939e+00	5.022957e+00	5.022950e+00
