distance,U_0,U_1,U_2
0,0,0,0
0.002002,10.7982,0,0
0.004004,13.5,0,0
0.00600601,13.5,0,0
0.00800801,13.5,0,0
0.01001,13.5,0,0
0.012012,13.5,0,0
0.014014,13.5,0,0
0.016016,13.5,0,0
0.018018,13.5,0,0
0.02002,13.5,0,0
0.022022,13.5,0,0
0.024024,13.5,0,0
0.026026,13.5,0,0
0.028028,13.5,0,0
0.03003,13.5,0,0
0.032032,13.5,0,0
0.034034,13.5,0,0
0.036036,13.5,0,0
0.038038,13.5,0,0
0.04004,13.5,0,0
0.042042,13.5,0,0
0.044044,13.5,0,0
0.046046,13.5,0,0
0.048048,13.5,0,0
0.0500501,13.5,0,0
0.0520521,13.5,0,0
0.0540541,13.5,0,0
0.0560561,13.5,0,0
0.0580581,13.5,0,0
0.0600601,13.5,0,0
0.0620621,13.5,0,0
0.0640641,13.5,0,0
0.0660661,13.5,0,0
0.0680681,13.5,0,0
0.0700701,13.5,0,0
0.0720721,13.5,0,0
0.0740741,13.5,0,0
0.0760761,13.5,0,0
0.0780781,13.5,0,0
0.0800801,13.5,0,0
0.0820821,13.5,0,0
0.0840841,13.5,0,0
0.0860861,13.5,0,0
0.0880881,13.5,0,0
0.0900901,13.5,0,0
0.0920921,13.5,0,0
0.0940941,13.5,0,0
0.0960961,13.5,0,0
0.0980981,13.5,0,0
0.1001,13.5,0,0
0.102102,13.5,0,0
0.104104,13.5,0,0
0.106106,13.5,0,0
0.108108,13.5,0,0
0.11011,13.5,0,0
0.112112,13.5,0,0
0.114114,13.5,0,0
0.116116,13.5,0,0
0.118118,13.5,0,0
0.12012,13.5,0,0
0.122122,13.5,0,0
0.124124,13.5,0,0
0.126126,13.5,0,0
0.128128,13.5,0,0
0.13013,13.5,0,0
0.132132,13.5,0,0
0.134134,13.5,0,0
0.136136,13.5,0,0
0.138138,13.5,0,0
0.14014,13.5,0,0
0.142142,13.5,0,0
0.144144,13.5,0,0
0.146146,13.5,0,0
0.148148,13.5,0,0
0.15015,13.5,0,0
0.152152,13.5,0,0
0.154154,13.5,0,0
0.156156,13.5,0,0
0.158158,13.5,0,0
0.16016,13.5,0,0
0.162162,13.5,0,0
0.164164,13.5,0,0
0.166166,13.5,0,0
0.168168,13.5,0,0
0.17017,13.5,0,0
0.172172,13.5,0,0
0.174174,13.5,0,0
0.176176,13.5,0,0
0.178178,13.5,0,0
0.18018,13.5,0,0
0.182182,13.5,0,0
0.184184,13.5,0,0
0.186186,13.5,0,0
0.188188,13.5,0,0
0.19019,13.5,0,0
0.192192,13.5,0,0
0.194194,13.5,0,0
0.196196,13.5,0,0
0.198198,13.5,0,0
0.2002,13.5,0,0
0.202202,13.5,0,0
0.204204,13.5,0,0
0.206206,13.5,0,0
0.208208,13.5,0,0
0.21021,13.5,0,0
0.212212,13.5,0,0
0.214214,13.5,0,0
0.216216,13.5,0,0
0.218218,13.5,0,0
0.22022,13.5,0,0
0.222222,13.5,0,0
0.224224,13.5,0,0
0.226226,13.5,0,0
0.228228,13.5,0,0
0.23023,13.5,0,0
0.232232,13.5,0,0
0.234234,13.5,0,0
0.236236,13.5,0,0
0.238238,13.5,0,0
0.24024,13.5,0,0
0.242242,13.5,0,0
0.244244,13.5,0,0
0.246246,13.5,0,0
0.248248,13.5,0,0
0.25025,13.5,0,0
0.252252,13.5,0,0
0.254254,13.5,0,0
0.256256,13.5,0,0
0.258258,13.5,0,0
0.26026,13.5,0,0
0.262262,13.5,0,0
0.264264,13.5,0,0
0.266266,13.5,0,0
0.268268,13.5,0,0
0.27027,13.5,0,0
0.272272,13.5,0,0
0.274274,13.5,0,0
0.276276,13.5,0,0
0.278278,13.5,0,0
0.28028,13.5,0,0
0.282282,13.5,0,0
0.284284,13.5,0,0
0.286286,13.5,0,0
0.288288,13.5,0,0
0.29029,13.5,0,0
0.292292,13.5,0,0
0.294294,13.5,0,0
0.296296,13.5,0,0
0.298298,13.5,0,0
0.3003,13.5,0,0
0.302302,13.5,0,0
0.304304,13.5,0,0
0.306306,13.5,0,0
0.308308,13.5,0,0
0.31031,13.5,0,0
0.312312,13.5,0,0
0.314314,13.5,0,0
0.316316,13.5,0,0
0.318318,13.5,0,0
0.32032,13.5,0,0
0.322322,13.5,0,0
0.324324,13.5,0,0
0.326326,13.5,0,0
0.328328,13.5,0,0
0.33033,13.5,0,0
0.332332,13.5,0,0
0.334334,13.5,0,0
0.336336,13.5,0,0
0.338338,13.5,0,0
0.34034,13.5,0,0
0.342342,13.5,0,0
0.344344,13.5,0,0
0.346346,13.5,0,0
0.348348,13.5,0,0
0.35035,13.5,0,0
0.352352,13.5,0,0
0.354354,13.5,0,0
0.356356,13.5,0,0
0.358358,13.5,0,0
0.36036,13.5,0,0
0.362362,13.5,0,0
0.364364,13.5,0,0
0.366366,13.5,0,0
0.368368,13.5,0,0
0.37037,13.5,0,0
0.372372,13.5,0,0
0.374374,13.5,0,0
0.376376,13.5,0,0
0.378378,13.5,0,0
0.38038,13.5,0,0
0.382382,13.5,0,0
0.384384,13.5,0,0
0.386386,13.5,0,0
0.388388,13.5,0,0
0.39039,13.5,0,0
0.392392,13.5,0,0
0.394394,13.5,0,0
0.396396,13.5,0,0
0.398398,13.5,0,0
0.4004,13.5,0,0
0.402402,13.5,0,0
0.404404,13.5,0,0
0.406406,13.5,0,0
0.408408,13.5,0,0
0.41041,13.5,0,0
0.412412,13.5,0,0
0.414414,13.5,0,0
0.416416,13.5,0,0
0.418418,13.5,0,0
0.42042,13.5,0,0
0.422422,13.5,0,0
0.424424,13.5,0,0
0.426426,13.5,0,0
0.428428,13.5,0,0
0.43043,13.5,0,0
0.432432,13.5,0,0
0.434434,13.5,0,0
0.436436,13.5,0,0
0.438438,13.5,0,0
0.44044,13.5,0,0
0.442442,13.5,0,0
0.444444,13.5,0,0
0.446446,13.5,0,0
0.448448,13.5,0,0
0.45045,13.5,0,0
0.452452,13.5,0,0
0.454454,13.5,0,0
0.456456,13.5,0,0
0.458458,13.5,0,0
0.46046,13.5,0,0
0.462462,13.5,0,0
0.464464,13.5,0,0
0.466466,13.5,0,0
0.468468,13.5,0,0
0.47047,13.5,0,0
0.472472,13.5,0,0
0.474474,13.5,0,0
0.476476,13.5,0,0
0.478478,13.5,0,0
0.48048,13.5,0,0
0.482482,13.5,0,0
0.484484,13.5,0,0
0.486486,13.5,0,0
0.488488,13.5,0,0
0.49049,13.5,0,0
0.492492,13.5,0,0
0.494494,13.5,0,0
0.496496,13.5,0,0
0.498498,13.5,0,0
0.500501,13.5,0,0
0.502503,13.5,0,0
0.504505,13.5,0,0
0.506507,13.5,0,0
0.508509,13.5,0,0
0.510511,13.5,0,0
0.512513,13.5,0,0
0.514515,13.5,0,0
0.516517,13.5,0,0
0.518519,13.5,0,0
0.520521,13.5,0,0
0.522523,13.5,0,0
0.524525,13.5,0,0
0.526527,13.5,0,0
0.528529,13.5,0,0
0.530531,13.5,0,0
0.532533,13.5,0,0
0.534535,13.5,0,0
0.536537,13.5,0,0
0.538539,13.5,0,0
0.540541,13.5,0,0
0.542543,13.5,0,0
0.544545,13.5,0,0
0.546547,13.5,0,0
0.548549,13.5,0,0
0.550551,13.5,0,0
0.552553,13.5,0,0
0.554555,13.5,0,0
0.556557,13.5,0,0
0.558559,13.5,0,0
0.560561,13.5,0,0
0.562563,13.5,0,0
0.564565,13.5,0,0
0.566567,13.5,0,0
0.568569,13.5,0,0
0.570571,13.5,0,0
0.572573,13.5,0,0
0.574575,13.5,0,0
0.576577,13.5,0,0
0.578579,13.5,0,0
0.580581,13.5,0,0
0.582583,13.5,0,0
0.584585,13.5,0,0
0.586587,13.5,0,0
0.588589,13.5,0,0
0.590591,13.5,0,0
0.592593,13.5,0,0
0.594595,13.5,0,0
0.596597,13.5,0,0
0.598599,13.5,0,0
0.600601,13.5,0,0
0.602603,13.5,0,0
0.604605,13.5,0,0
0.606607,13.5,0,0
0.608609,13.5,0,0
0.610611,13.5,0,0
0.612613,13.5,0,0
0.614615,13.5,0,0
0.616617,13.5,0,0
0.618619,13.5,0,0
0.620621,13.5,0,0
0.622623,13.5,0,0
0.624625,13.5,0,0
0.626627,13.5,0,0
0.628629,13.5,0,0
0.630631,13.5,0,0
0.632633,13.5,0,0
0.634635,13.5,0,0
0.636637,13.5,0,0
0.638639,13.5,0,0
0.640641,13.5,0,0
0.642643,13.5,0,0
0.644645,13.5,0,0
0.646647,13.5,0,0
0.648649,13.5,0,0
0.650651,13.5,0,0
0.652653,13.5,0,0
0.654655,13.5,0,0
0.656657,13.5,0,0
0.658659,13.5,0,0
0.660661,13.5,0,0
0.662663,13.5,0,0
0.664665,13.5,0,0
0.666667,13.5,0,0
0.668669,13.5,0,0
0.670671,13.5,0,0
0.672673,13.5,0,0
0.674675,13.5,0,0
0.676677,13.5,0,0
0.678679,13.5,0,0
0.680681,13.5,0,0
0.682683,13.5,0,0
0.684685,13.5,0,0
0.686687,13.5,0,0
0.688689,13.5,0,0
0.690691,13.5,0,0
0.692693,13.5,0,0
0.694695,13.5,0,0
0.696697,13.5,0,0
0.698699,13.5,0,0
0.700701,13.5,0,0
0.702703,13.5,0,0
0.704705,13.5,0,0
0.706707,13.5,0,0
0.708709,13.5,0,0
0.710711,13.5,0,0
0.712713,13.5,0,0
0.714715,13.5,0,0
0.716717,13.5,0,0
0.718719,13.5,0,0
0.720721,13.5,0,0
0.722723,13.5,0,0
0.724725,13.5,0,0
0.726727,13.5,0,0
0.728729,13.5,0,0
0.730731,13.5,0,0
0.732733,13.5,0,0
0.734735,13.5,0,0
0.736737,13.5,0,0
0.738739,13.5,0,0
0.740741,13.5,0,0
0.742743,13.5,0,0
0.744745,13.5,0,0
0.746747,13.5,0,0
0.748749,13.5,0,0
0.750751,13.5,0,0
0.752753,13.5,0,0
0.754755,13.5,0,0
0.756757,13.5,0,0
0.758759,13.5,0,0
0.760761,13.5,0,0
0.762763,13.5,0,0
0.764765,13.5,0,0
0.766767,13.5,0,0
0.768769,13.5,0,0
0.770771,13.5,0,0
0.772773,13.5,0,0
0.774775,13.5,0,0
0.776777,13.5,0,0
0.778779,13.5,0,0
0.780781,13.5,0,0
0.782783,13.5,0,0
0.784785,13.5,0,0
0.786787,13.5,0,0
0.788789,13.5,0,0
0.790791,13.5,0,0
0.792793,13.5,0,0
0.794795,13.5,0,0
0.796797,13.5,0,0
0.798799,13.5,0,0
0.800801,13.5,0,0
0.802803,13.5,0,0
0.804805,13.5,0,0
0.806807,13.5,0,0
0.808809,13.5,0,0
0.810811,13.5,0,0
0.812813,13.5,0,0
0.814815,13.5,0,0
0.816817,13.5,0,0
0.818819,13.5,0,0
0.820821,13.5,0,0
0.822823,13.5,0,0
0.824825,13.5,0,0
0.826827,13.5,0,0
0.828829,13.5,0,0
0.830831,13.5,0,0
0.832833,13.5,0,0
0.834835,13.5,0,0
0.836837,13.5,0,0
0.838839,13.5,0,0
0.840841,13.5,0,0
0.842843,13.5,0,0
0.844845,13.5,0,0
0.846847,13.5,0,0
0.848849,13.5,0,0
0.850851,13.5,0,0
0.852853,13.5,0,0
0.854855,13.5,0,0
0.856857,13.5,0,0
0.858859,13.5,0,0
0.860861,13.5,0,0
0.862863,13.5,0,0
0.864865,13.5,0,0
0.866867,13.5,0,0
0.868869,13.5,0,0
0.870871,13.5,0,0
0.872873,13.5,0,0
0.874875,13.5,0,0
0.876877,13.5,0,0
0.878879,13.5,0,0
0.880881,13.5,0,0
0.882883,13.5,0,0
0.884885,13.5,0,0
0.886887,13.5,0,0
0.888889,13.5,0,0
0.890891,13.5,0,0
0.892893,13.5,0,0
0.894895,13.5,0,0
0.896897,13.5,0,0
0.898899,13.5,0,0
0.900901,13.5,0,0
0.902903,13.5,0,0
0.904905,13.5,0,0
0.906907,13.5,0,0
0.908909,13.5,0,0
0.910911,13.5,0,0
0.912913,13.5,0,0
0.914915,13.5,0,0
0.916917,13.5,0,0
0.918919,13.5,0,0
0.920921,13.5,0,0
0.922923,13.5,0,0
0.924925,13.5,0,0
0.926927,13.5,0,0
0.928929,13.5,0,0
0.930931,13.5,0,0
0.932933,13.5,0,0
0.934935,13.5,0,0
0.936937,13.5,0,0
0.938939,13.5,0,0
0.940941,13.5,0,0
0.942943,13.5,0,0
0.944945,13.5,0,0
0.946947,13.5,0,0
0.948949,13.5,0,0
0.950951,13.5,0,0
0.952953,13.5,0,0
0.954955,13.5,0,0
0.956957,13.5,0,0
0.958959,13.5,0,0
0.960961,13.5,0,0
0.962963,13.5,0,0
0.964965,13.5,0,0
0.966967,13.5,0,0
0.968969,13.5,0,0
0.970971,13.5,0,0
0.972973,13.5,0,0
0.974975,13.5,0,0
0.976977,13.5,0,0
0.978979,13.5,0,0
0.980981,13.5,0,0
0.982983,13.5,0,0
0.984985,13.5,0,0
0.986987,13.5,0,0
0.988989,13.5,0,0
0.990991,13.5,0,0
0.992993,13.5,0,0
0.994995,13.5,0,0
0.996997,13.5,0,0
0.998999,13.5,0,0
