y,R_0,R_1,R_2,R_3,R_4,R_5
0.00133491,0.000995653,-4.2633e-06,0,0.000995653,-1.88385e-40,0.000995653
0.00405446,0.0176808,-0.00029299,-2.33352e-22,0.0176808,-1.73634e-38,0.0176808
0.00687533,0.066672,-0.00197801,-3.05374e-21,0.066672,-2.95698e-38,0.066672
0.00980129,0.168754,-0.00812068,-1.69517e-36,0.168754,-1.48683e-38,0.168754
0.0128363,0.349151,-0.0274564,0,0.349151,7.34802e-38,0.349151
0.0159843,0.623133,-0.0807537,0,0.623133,2.74494e-37,0.623133
0.0192496,0.960348,-0.184227,0,0.960348,5.69328e-37,0.960348
0.0226366,1.28549,-0.311795,0,1.28549,8.51335e-37,1.28549
0.0261497,1.54612,-0.427846,0,1.54612,1.12966e-36,1.54612
0.0297938,1.73486,-0.521445,0,1.73486,1.37073e-36,1.73486
0.0335736,1.86456,-0.594055,0,1.86456,1.54975e-36,1.86456
0.0374942,1.95087,-0.649748,0,1.95087,1.66507e-36,1.95087
0.0415609,2.00665,-0.692413,0,2.00665,1.73096e-36,2.00665
0.0457791,2.04121,-0.725161,0,2.04121,1.76597e-36,2.04121
0.0501544,2.06103,-0.750357,0,2.06103,1.78565e-36,2.06103
0.0546927,2.07054,-0.769762,0,2.07054,1.80042e-36,2.07054
0.0594002,2.07276,-0.784679,0,2.07276,1.81599e-36,2.07276
0.0642829,2.06976,-0.796076,0,2.06976,1.83464e-36,2.06976
0.0693476,2.06296,-0.804671,0,2.06296,1.85652e-36,2.06296
0.074601,2.05336,-0.811003,0,2.05336,1.88068e-36,2.05336
0.0800501,2.04164,-0.815478,0,2.04164,1.90578e-36,2.04164
0.0857023,2.02831,-0.818405,0,2.02831,1.93051e-36,2.02831
0.0915649,2.01371,-0.820022,0,2.01371,1.95379e-36,2.01371
0.0976461,1.99808,-0.820511,0,1.99808,1.97489e-36,1.99808
0.103954,1.98162,-0.820016,0,1.98162,1.99341e-36,1.98162
0.110496,1.96443,-0.818649,0,1.96443,2.00926e-36,1.96443
0.117283,1.94661,-0.816498,0,1.94661,2.02255e-36,1.94661
0.124322,1.92822,-0.813633,0,1.92822,2.03356e-36,1.92822
0.131623,1.9093,-0.810107,0,1.9093,2.04269e-36,1.9093
0.139197,1.88988,-0.805967,0,1.88988,2.05033e-36,1.88988
0.147053,1.86995,-0.801244,0,1.86995,2.05692e-36,1.86995
0.155201,1.84953,-0.795967,0,1.84953,2.06284e-36,1.84953
0.163653,1.82862,-0.790154,0,1.82862,2.06841e-36,1.82862
0.17242,1.8072,-0.783823,0,1.8072,2.0739e-36,1.8072
0.181513,1.78527,-0.776984,0,1.78527,2.07951e-36,1.78527
0.190945,1.7628,-0.769644,0,1.7628,2.08538e-36,1.7628
0.200729,1.73978,-0.761808,0,1.73978,2.09158e-36,1.73978
0.210877,1.71619,-0.753477,0,1.71619,2.09814e-36,1.71619
0.221403,1.69201,-0.744651,0,1.69201,2.10506e-36,1.69201
0.232321,1.66721,-0.735326,0,1.66721,2.11229e-36,1.66721
