y,epsilon,k
0.00133491,0.620127,0.00149348
0.00405446,2.87306,0.0265212
0.00687533,6.44764,0.100008
0.00980129,12.0019,0.25313
0.0128363,20.7816,0.523727
0.0159843,33.2216,0.9347
0.0192496,47.7863,1.44052
0.0226366,60.3839,1.92824
0.0261497,67.8216,2.31918
0.0297938,70.0843,2.60229
0.0335736,68.7547,2.79684
0.0374942,65.4095,2.92631
0.0415609,61.1449,3.00997
0.0457791,56.6148,3.06181
0.0501544,52.1724,3.09154
0.0546927,47.9893,3.10581
0.0594002,44.1351,3.10915
0.0642829,40.6248,3.10464
0.0693476,37.446,3.09444
0.074601,34.5738,3.08003
0.0800501,31.9791,3.06246
0.0857023,29.6325,3.04246
0.0915649,27.5063,3.02056
0.0976461,25.5754,2.99712
0.103954,23.8174,2.97242
0.110496,22.2125,2.94664
0.117283,20.7436,2.91992
0.124322,19.3955,2.89234
0.131623,18.1552,2.86396
0.139197,17.0113,2.83481
0.147053,15.9537,2.80493
0.155201,14.9736,2.7743
0.163653,14.0635,2.74293
0.17242,13.2166,2.71081
0.181513,12.4269,2.6779
0.190945,11.6892,2.6442
0.200729,10.9988,2.60967
0.210877,10.3515,2.57429
0.221403,9.74376,2.53802
0.232321,9.17215,2.50082
0.243646,8.63377,2.46266
0.255393,8.12594,2.42351
0.267578,7.64629,2.38334
0.280216,7.19266,2.34209
0.293325,6.76311,2.29974
0.307778,6.33032,2.25353
0.323333,5.90858,2.20433
0.338889,5.52475,2.15567
0.354444,5.17384,2.10751
0.37,4.85168,2.05984
0.385556,4.55481,2.01267
0.401111,4.28034,1.96599
0.416667,4.02579,1.9198
0.432222,3.78908,1.87411
0.447778,3.56842,1.82893
0.463333,3.36228,1.78427
0.478889,3.16932,1.74017
0.494444,2.98842,1.69663
0.51,2.81856,1.65369
0.525556,2.6589,1.61138
0.541111,2.50866,1.56973
0.556667,2.36719,1.52878
0.572222,2.23391,1.48857
0.587778,2.10832,1.44916
0.603333,1.98996,1.41057
0.618889,1.87846,1.37288
0.634444,1.77345,1.33614
0.65,1.67463,1.30039
0.665556,1.58174,1.26571
0.681111,1.49453,1.23215
0.696667,1.41278,1.19978
0.712222,1.33631,1.16865
0.727778,1.26493,1.13883
0.743333,1.19848,1.11038
0.758889,1.13681,1.08335
0.774444,1.07979,1.05781
0.79,1.02727,1.0338
0.805556,0.979136,1.01136
0.821111,0.935259,0.990543
0.836667,0.895525,0.97138
0.852222,0.859821,0.953899
0.867778,0.82804,0.938125
0.883333,0.80008,0.924077
0.898889,0.775845,0.911768
0.914444,0.755249,0.901208
0.93,0.738211,0.892403
0.945556,0.724666,0.885356
0.961111,0.714556,0.880068
0.976667,0.707838,0.87654
0.992222,0.704483,0.874772
1.00778,0.704476,0.874764
1.02333,0.707816,0.876515
1.03889,0.71452,0.880027
1.05444,0.724615,0.8853
1.07,0.738146,0.892332
1.08556,0.755169,0.901123
1.10111,0.775751,0.91167
1.11667,0.799972,0.923967
1.13222,0.827919,0.938005
1.14778,0.859686,0.953769
1.16333,0.895377,0.971242
1.17889,0.935098,0.9904
1.19444,0.978963,1.01121
1.21,1.02709,1.03365
1.22556,1.07959,1.05766
1.24111,1.13661,1.0832
1.25667,1.19827,1.11023
1.27222,1.26471,1.13869
1.28778,1.33608,1.16851
1.30333,1.41255,1.19965
1.31889,1.49429,1.23203
1.33444,1.5815,1.26561
1.35,1.67439,1.3003
1.36556,1.77321,1.33606
1.38111,1.87822,1.37283
1.39667,1.98974,1.41053
1.41222,2.10811,1.44913
1.42778,2.23372,1.48857
1.44333,2.36701,1.5288
1.45889,2.5085,1.56977
1.47444,2.65877,1.61144
1.49,2.81847,1.65377
1.50556,2.98836,1.69674
1.52111,3.16931,1.74029
1.53667,3.36231,1.78442
1.55222,3.56851,1.82909
1.56778,3.78924,1.87429
1.58333,4.02602,1.92
1.59889,4.28064,1.9662
1.61444,4.5552,2.0129
1.63,4.85216,2.06008
1.64556,5.17442,2.10775
1.66111,5.52545,2.15592
1.67667,5.90939,2.20459
1.69222,6.33126,2.25378
1.70667,6.76417,2.29999
1.71978,7.19383,2.34234
1.73242,7.64756,2.38357
1.74461,8.12731,2.42374
1.75635,8.63522,2.46288
1.76768,9.17368,2.50102
1.7786,9.74533,2.5382
1.78912,10.3531,2.57445
1.79927,11.0004,2.60981
1.80905,11.6908,2.64432
1.81849,12.4284,2.67799
1.82758,13.218,2.71087
1.83635,14.0648,2.74297
1.8448,14.9748,2.77431
1.85295,15.9546,2.80491
1.8608,17.0119,2.83477
1.86838,18.1556,2.86388
1.87568,19.3955,2.89224
1.88272,20.7432,2.9198
1.8895,22.2117,2.9465
1.89605,23.8162,2.97226
1.90235,25.5738,2.99694
1.90844,27.5043,3.02036
1.9143,29.63,3.04225
1.91995,31.9763,3.06225
1.9254,34.5707,3.07981
1.93065,37.4427,3.09422
1.93572,40.6215,3.10442
1.9406,44.1318,3.10893
1.94531,47.986,3.1056
1.94985,52.1692,3.09133
1.95422,56.6117,3.0616
1.95844,61.1415,3.00975
1.96251,65.4052,2.92607
1.96643,68.7485,2.79656
1.97021,70.0749,2.60195
1.97385,67.8075,2.31877
1.97736,60.3643,1.92772
1.98075,47.7634,1.43995
1.98402,33.2004,0.934181
1.98716,20.7658,0.523364
1.9902,11.9918,0.252929
1.99312,6.4419,0.0999204
1.99595,2.87037,0.0264965
1.99867,0.61953,0.00149202
