# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bottom	2.668374e+00	2.668374e+00	2.668374e+00
0             	top	2.668375e+00	2.668375e+00	2.668375e+00
1             	bottom	3.492226e-01	3.492226e-01	3.492226e-01
1             	top	3.492224e-01	3.492224e-01	3.492224e-01
2             	bottom	3.126967e-01	3.126967e-01	3.126967e-01
2             	top	3.126963e-01	3.126963e-01	3.126963e-01
3             	bottom	2.988297e-01	2.988297e-01	2.988297e-01
3             	top	2.988291e-01	2.988291e-01	2.988291e-01
4             	bottom	2.926499e-01	2.926499e-01	2.926499e-01
4             	top	2.926498e-01	2.926498e-01	2.926498e-01
5             	bottom	2.942721e-01	2.942721e-01	2.942721e-01
5             	top	2.942755e-01	2.942755e-01	2.942755e-01
6             	bottom	3.745403e-01	3.745403e-01	3.745403e-01
6             	top	3.748394e-01	3.748394e-01	3.748394e-01
7             	bottom	4.879992e-01	4.879992e-01	4.879992e-01
7             	top	4.879879e-01	4.879879e-01	4.879879e-01
8             	bottom	4.990995e-01	4.990995e-01	4.990995e-01
8             	top	4.990973e-01	4.990973e-01	4.990973e-01
9             	bottom	5.064174e-01	5.064174e-01	5.064174e-01
9             	top	5.064059e-01	5.064059e-01	5.064059e-01
10            	bottom	5.062844e-01	5.062844e-01	5.062844e-01
10            	top	5.062768e-01	5.062768e-01	5.062768e-01
11            	bottom	5.065783e-01	5.065783e-01	5.065783e-01
11            	top	5.065789e-01	5.065789e-01	5.065789e-01
12            	bottom	5.079670e-01	5.079670e-01	5.079670e-01
12            	top	5.079736e-01	5.079736e-01	5.079736e-01
13            	bottom	5.098362e-01	5.098362e-01	5.098362e-01
13            	top	5.098437e-01	5.098437e-01	5.098437e-01
14            	bottom	5.116570e-01	5.116570e-01	5.116570e-01
14            	top	5.116632e-01	5.116632e-01	5.116632e-01
15            	bottom	5.131963e-01	5.131963e-01	5.131963e-01
15            	top	5.132071e-01	5.132071e-01	5.132071e-01
16            	bottom	5.145738e-01	5.145738e-01	5.145738e-01
16            	top	5.145831e-01	5.145831e-01	5.145831e-01
17            	bottom	5.157989e-01	5.157989e-01	5.157989e-01
17            	top	5.158075e-01	5.158075e-01	5.158075e-01
18            	bottom	5.168831e-01	5.168831e-01	5.168831e-01
18            	top	5.168915e-01	5.168915e-01	5.168915e-01
19            	bottom	5.178616e-01	5.178616e-01	5.178616e-01
19            	top	5.178696e-01	5.178696e-01	5.178696e-01
20            	bottom	5.187507e-01	5.187507e-01	5.187507e-01
20            	top	5.187582e-01	5.187582e-01	5.187582e-01
21            	bottom	5.195587e-01	5.195587e-01	5.195587e-01
21            	top	5.195657e-01	5.195657e-01	5.195657e-01
22            	bottom	5.202922e-01	5.202922e-01	5.202922e-01
22            	top	5.202986e-01	5.202986e-01	5.202986e-01
23            	bottom	5.209576e-01	5.209576e-01	5.209576e-01
23            	top	5.209635e-01	5.209635e-01	5.209635e-01
24            	bottom	5.215611e-01	5.215611e-01	5.215611e-01
24            	top	5.215665e-01	5.215665e-01	5.215665e-01
25            	bottom	5.220530e-01	5.220530e-01	5.220530e-01
25            	top	5.220611e-01	5.220611e-01	5.220611e-01
26            	bottom	5.225595e-01	5.225595e-01	5.225595e-01
26            	top	5.225644e-01	5.225644e-01	5.225644e-01
27            	bottom	5.229495e-01	5.229495e-01	5.229495e-01
27            	top	5.229588e-01	5.229588e-01	5.229588e-01
28            	bottom	5.233454e-01	5.233454e-01	5.233454e-01
28            	top	5.233541e-01	5.233541e-01	5.233541e-01
29            	bottom	5.237132e-01	5.237132e-01	5.237132e-01
29            	top	5.237210e-01	5.237210e-01	5.237210e-01
30            	bottom	5.240516e-01	5.240516e-01	5.240516e-01
30            	top	5.240587e-01	5.240587e-01	5.240587e-01
31            	bottom	5.243675e-01	5.243675e-01	5.243675e-01
31            	top	5.243740e-01	5.243740e-01	5.243740e-01
32            	bottom	5.246573e-01	5.246573e-01	5.246573e-01
32            	top	5.246632e-01	5.246632e-01	5.246632e-01
33            	bottom	5.249205e-01	5.249205e-01	5.249205e-01
33            	top	5.249258e-01	5.249258e-01	5.249258e-01
34            	bottom	5.251584e-01	5.251584e-01	5.251584e-01
34            	top	5.251632e-01	5.251632e-01	5.251632e-01
35            	bottom	5.253731e-01	5.253731e-01	5.253731e-01
35            	top	5.253776e-01	5.253776e-01	5.253776e-01
