# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	bottom	(-1.076433e-03 0.000000e+00 0.000000e+00)	(-1.076433e-03 0.000000e+00 0.000000e+00)
0.000000e+00	top	(-1.076433e-03 0.000000e+00 0.000000e+00)	(-1.076433e-03 0.000000e+00 0.000000e+00)
2.500000e+02	bottom	(-2.393450e-05 4.161995e-21 -1.342547e-39)	(-2.393450e-05 4.161995e-21 -1.342547e-39)
2.500000e+02	top	(-2.393440e-05 7.474120e-25 -6.305297e-54)	(-2.393440e-05 7.474120e-25 -6.305297e-54)
5.000000e+02	bottom	(-1.804592e-05 3.330958e-21 -1.756023e-39)	(-1.804592e-05 3.330958e-21 -1.756023e-39)
5.000000e+02	top	(-1.804580e-05 4.268571e-25 -9.005434e-48)	(-1.804580e-05 4.268571e-25 -9.005434e-48)
7.500000e+02	bottom	(-2.050829e-05 2.844259e-21 -2.913777e-39)	(-2.050829e-05 2.844259e-21 -2.913777e-39)
7.500000e+02	top	(-2.053606e-05 -3.656074e-26 -3.011727e-45)	(-2.053606e-05 -3.656074e-26 -3.011727e-45)
1.000000e+03	bottom	(-5.979331e-05 4.242273e-21 -1.958340e-39)	(-5.979331e-05 4.242273e-21 -1.958340e-39)
1.000000e+03	top	(-5.979182e-05 1.460547e-23 -2.713872e-43)	(-5.979182e-05 1.460547e-23 -2.713872e-43)
