# y+ ()       
# Time        	patch         	min           	max           	average       
0             	bottom	5.551917e-01	5.551917e-01	5.551917e-01
0             	top	4.069000e+00	4.069000e+00	4.069000e+00
250           	bottom	2.053343e-06	2.053343e-06	2.053343e-06
250           	top	6.067440e-01	6.067440e-01	6.067440e-01
500           	bottom	1.182599e-05	1.182599e-05	1.182599e-05
500           	top	5.268443e-01	5.268443e-01	5.268443e-01
750           	bottom	1.398154e-03	1.398154e-03	1.398154e-03
750           	top	5.620212e-01	5.620212e-01	5.620212e-01
1000          	bottom	5.594119e-02	5.594119e-02	5.594119e-02
1000          	top	9.589922e-01	9.589922e-01	9.589922e-01
