y,U_0,U_1,U_2
4.44089e-18,9.68668e-16,2.60853e-24,2.39872e-34
0.002002,0.479203,2.33032e-09,8.13915e-20
0.004004,0.958405,4.66064e-09,1.62783e-19
0.00600601,1.43761,6.99096e-09,2.44174e-19
0.00800801,1.91681,9.32129e-09,3.25566e-19
0.01001,2.39601,1.16516e-08,4.06957e-19
0.012012,2.87522,1.39819e-08,4.88349e-19
0.014014,3.35442,1.63122e-08,5.6974e-19
0.016016,3.83362,1.86426e-08,6.51132e-19
0.018018,4.31282,2.09729e-08,7.32523e-19
0.02002,4.79203,2.33032e-08,8.13915e-19
0.022022,5.27123,2.56335e-08,8.95306e-19
0.024024,5.75043,2.79639e-08,9.76698e-19
0.026026,6.22963,3.02942e-08,1.05809e-18
0.028028,6.70884,3.26245e-08,1.13948e-18
0.03003,7.18804,3.49548e-08,1.22087e-18
0.032032,7.66724,3.72851e-08,1.30226e-18
0.034034,8.14644,3.96155e-08,1.38365e-18
0.036036,8.56187,4.0167e-08,1.53055e-18
0.038038,8.64425,3.14292e-08,2.01952e-18
0.04004,8.72664,2.2692e-08,2.52179e-18
0.042042,8.80902,1.39835e-08,3.67565e-18
0.044044,8.8914,5.27503e-09,4.82951e-18
0.046046,8.96895,-1.44253e-09,5.84166e-18
0.048048,9.03497,-3.41247e-09,6.51588e-18
0.0500501,9.10098,-5.38241e-09,7.19009e-18
0.0520521,9.167,-7.35236e-09,7.86431e-18
0.0540541,9.23302,-9.3223e-09,8.53853e-18
0.0560561,9.29903,-1.12922e-08,9.21274e-18
0.0580581,9.36505,-1.32622e-08,9.88696e-18
0.0600601,9.43107,-1.52321e-08,1.05612e-17
0.0620621,9.49708,-1.72021e-08,1.12354e-17
0.0640641,9.5631,-1.9172e-08,1.19096e-17
0.0660661,9.62911,-2.1142e-08,1.25838e-17
0.0680681,9.69513,-2.31119e-08,1.3258e-17
0.0700701,9.76115,-2.50818e-08,1.39323e-17
0.0720721,9.82047,-2.44567e-08,1.42634e-17
0.0740741,9.86565,-1.83529e-08,1.38704e-17
0.0760761,9.91084,-1.22492e-08,1.34774e-17
0.0780781,9.95602,-6.14541e-09,1.30844e-17
0.0800801,10.0012,-3.82998e-11,1.26875e-17
0.0820821,10.0464,6.14935e-09,1.21984e-17
0.0840841,10.0916,1.2337e-08,1.17093e-17
0.0860861,10.1368,1.85247e-08,1.12202e-17
0.0880881,10.1819,2.47123e-08,1.07311e-17
0.0900901,10.2271,3.09e-08,1.0242e-17
0.0920921,10.2694,3.44319e-08,9.96456e-18
0.0940941,10.3096,3.61254e-08,9.83358e-18
0.0960961,10.3498,3.78188e-08,9.7026e-18
0.0980981,10.3901,3.95123e-08,9.57162e-18
0.1001,10.4303,4.12057e-08,9.44063e-18
0.102102,10.4705,4.28991e-08,9.30965e-18
0.104104,10.5108,4.45926e-08,9.17867e-18
0.106106,10.551,4.6286e-08,9.04768e-18
0.108108,10.5882,4.52383e-08,9.03965e-18
0.11011,10.6221,4.12464e-08,9.16366e-18
0.112112,10.656,3.72545e-08,9.28767e-18
0.114114,10.6899,3.32627e-08,9.41168e-18
0.116116,10.7238,2.92708e-08,9.5357e-18
0.118118,10.7578,2.52789e-08,9.65971e-18
0.12012,10.7917,2.12862e-08,9.73911e-18
0.122122,10.8256,1.72814e-08,9.1196e-18
0.124124,10.8595,1.32766e-08,8.50009e-18
0.126126,10.8934,9.27173e-09,7.88058e-18
0.128128,10.9274,5.26689e-09,7.26107e-18
0.13013,10.9613,1.26206e-09,6.64156e-18
0.132132,10.9952,-2.74277e-09,6.02205e-18
0.134134,11.0291,-6.7476e-09,5.40254e-18
0.136136,11.063,-1.07524e-08,4.78303e-18
0.138138,11.0945,-1.27749e-08,3.72556e-18
0.14014,11.1256,-1.45432e-08,2.61195e-18
0.142142,11.1567,-1.63114e-08,1.49834e-18
0.144144,11.1855,-1.61382e-08,5.23408e-19
0.146146,11.213,-1.48862e-08,-3.7448e-19
0.148148,11.2406,-1.36343e-08,-1.27237e-18
0.15015,11.2681,-1.23824e-08,-2.17025e-18
0.152152,11.2956,-1.11305e-08,-3.06814e-18
0.154154,11.3232,-9.87857e-09,-3.96603e-18
0.156156,11.3507,-8.62665e-09,-4.86392e-18
0.158158,11.3782,-7.37474e-09,-5.76181e-18
0.16016,11.4058,-6.12216e-09,-6.54991e-18
0.162162,11.4333,-4.86207e-09,-6.07544e-18
0.164164,11.4608,-3.60198e-09,-5.60098e-18
0.166166,11.4884,-2.34189e-09,-5.12652e-18
0.168168,11.5159,-1.0818e-09,-4.65206e-18
0.17017,11.5434,1.78292e-10,-4.17759e-18
0.172172,11.5709,1.43838e-09,-3.70313e-18
0.174174,11.5985,2.69847e-09,-3.22867e-18
0.176176,11.626,3.95857e-09,-2.75421e-18
0.178178,11.6535,5.21866e-09,-2.27974e-18
0.18018,11.6792,5.72432e-09,-2.42083e-18
0.182182,11.704,5.86606e-09,-2.90483e-18
0.184184,11.7273,5.19999e-09,-4.25481e-18
0.186186,11.7506,4.53391e-09,-5.60479e-18
0.188188,11.7738,3.86784e-09,-6.95477e-18
0.19019,11.7971,3.20176e-09,-8.30475e-18
0.192192,11.8204,2.53568e-09,-9.65473e-18
0.194194,11.8437,1.86961e-09,-1.10047e-17
0.196196,11.867,1.20353e-09,-1.23547e-17
0.198198,11.8903,5.37456e-10,-1.37047e-17
0.2002,11.9136,-1.26673e-10,-1.47362e-17
0.202202,11.9369,-7.73282e-10,-1.29021e-17
0.204204,11.9602,-1.41989e-09,-1.10679e-17
0.206206,11.9834,-2.0665e-09,-9.23377e-18
0.208208,12.0067,-2.71311e-09,-7.39961e-18
0.21021,12.03,-3.35972e-09,-5.56545e-18
0.212212,12.0533,-4.00632e-09,-3.73129e-18
0.214214,12.0766,-4.65293e-09,-1.89714e-18
0.216216,12.0982,-4.70053e-09,-1.39433e-18
0.218218,12.1198,-4.72594e-09,-9.40832e-19
0.22022,12.1414,-4.75135e-09,-4.87336e-19
0.222222,12.1629,-4.77676e-09,-3.38388e-20
0.224224,12.1845,-4.80217e-09,4.19658e-19
0.226226,12.206,-4.82758e-09,8.73155e-19
0.228228,12.227,-4.70903e-09,1.14689e-18
0.23023,12.2472,-4.4328e-09,1.22373e-18
0.232232,12.2674,-4.15658e-09,1.30057e-18
0.234234,12.2876,-3.88035e-09,1.37742e-18
0.236236,12.3078,-3.60412e-09,1.45426e-18
0.238238,12.328,-3.32789e-09,1.53111e-18
0.24024,12.3482,-3.05744e-09,2.07367e-18
0.242242,12.3684,-2.82934e-09,6.03153e-18
0.244244,12.3886,-2.60124e-09,9.98938e-18
0.246246,12.4089,-2.37313e-09,1.39472e-17
0.248248,12.4291,-2.14503e-09,1.79051e-17
0.25025,12.4491,-1.92155e-09,2.15451e-17
0.252252,12.468,-1.73048e-09,2.29599e-17
0.254254,12.4869,-1.53941e-09,2.43748e-17
0.256256,12.5057,-1.34834e-09,2.57897e-17
0.258258,12.5246,-1.15727e-09,2.72046e-17
0.26026,12.5435,-9.66199e-10,2.86195e-17
0.262262,12.5624,-7.75128e-10,3.00343e-17
0.264264,12.5812,-5.84057e-10,3.14492e-17
0.266266,12.6001,-3.92986e-10,3.28641e-17
0.268268,12.619,-2.01915e-10,3.4279e-17
0.27027,12.6379,-1.08445e-11,3.56938e-17
0.272272,12.6567,1.80226e-10,3.71087e-17
0.274274,12.6748,2.48065e-10,3.73707e-17
0.276276,12.6926,2.7966e-10,3.72935e-17
0.278278,12.7105,3.11254e-10,3.72163e-17
0.28028,12.7283,3.40746e-10,3.78009e-17
0.282282,12.7461,3.57322e-10,4.24502e-17
0.284284,12.764,3.73897e-10,4.70995e-17
0.286286,12.7815,4.20899e-10,5.03018e-17
0.288288,12.7982,5.43965e-10,4.98866e-17
0.29029,12.815,6.67031e-10,4.94714e-17
0.292292,12.8318,7.90097e-10,4.90562e-17
0.294294,12.8485,9.13162e-10,4.8641e-17
0.296296,12.8653,1.03623e-09,4.82258e-17
0.298298,12.882,1.15929e-09,4.78105e-17
0.3003,12.8988,1.28236e-09,4.73953e-17
0.302302,12.9156,1.40543e-09,4.69801e-17
0.304304,12.9323,1.52849e-09,4.65649e-17
0.306306,12.9491,1.65156e-09,4.61497e-17
0.308308,12.9658,1.77462e-09,4.57345e-17
0.31031,12.9826,1.89769e-09,4.53193e-17
0.312312,12.9994,2.02076e-09,4.49041e-17
0.314314,13.0161,2.14382e-09,4.44889e-17
0.316316,13.0329,2.26689e-09,4.40737e-17
0.318318,13.0496,2.38719e-09,4.33305e-17
0.32032,13.0655,2.46799e-09,3.88413e-17
0.322322,13.081,2.55865e-09,3.71704e-17
0.324324,13.096,2.67295e-09,3.42018e-17
0.326326,13.1111,2.78726e-09,3.12332e-17
0.328328,13.1261,2.90156e-09,2.82646e-17
0.33033,13.1411,3.01587e-09,2.5296e-17
0.332332,13.1562,3.13017e-09,2.23274e-17
0.334334,13.1713,3.24606e-09,1.94132e-17
0.336336,13.1865,3.36355e-09,1.65534e-17
0.338338,13.2017,3.48103e-09,1.36937e-17
0.34034,13.217,3.59852e-09,1.08339e-17
0.342342,13.2322,3.716e-09,7.9742e-18
0.344344,13.2474,3.83348e-09,5.11445e-18
0.346346,13.2626,3.95097e-09,2.2547e-18
0.348348,13.2778,4.06845e-09,-6.05043e-19
0.35035,13.2931,4.18594e-09,-3.46479e-18
0.352352,13.3083,4.30342e-09,-6.32454e-18
0.354354,13.3235,4.4209e-09,-9.18428e-18
0.356356,13.3387,4.53839e-09,-1.2044e-17
0.358358,13.3534,4.69887e-09,-1.50556e-17
0.36036,13.3677,4.87404e-09,-1.85271e-17
0.362362,13.3821,4.98938e-09,-2.36467e-17
0.364364,13.3962,5.09979e-09,-2.70187e-17
0.366366,13.4099,5.20159e-09,-2.73325e-17
0.368368,13.4236,5.3034e-09,-2.76464e-17
0.37037,13.4373,5.4052e-09,-2.79602e-17
0.372372,13.4511,5.50701e-09,-2.8274e-17
0.374374,13.4648,5.60881e-09,-2.85879e-17
0.376376,13.4785,5.71062e-09,-2.89017e-17
0.378378,13.4922,5.81242e-09,-2.92155e-17
0.38038,13.506,5.91422e-09,-2.95293e-17
0.382382,13.5197,6.01603e-09,-2.98432e-17
0.384384,13.5334,6.11783e-09,-3.0157e-17
0.386386,13.5472,6.21964e-09,-3.04708e-17
0.388388,13.5609,6.32144e-09,-3.07846e-17
0.39039,13.5746,6.42325e-09,-3.10985e-17
0.392392,13.5883,6.52505e-09,-3.14123e-17
0.394394,13.6015,6.6675e-09,-2.71704e-17
0.396396,13.6144,6.82224e-09,-2.15512e-17
0.398398,13.6274,6.97698e-09,-1.5932e-17
0.4004,13.6403,7.11913e-09,-1.0585e-17
0.402402,13.6533,7.21094e-09,-6.32645e-18
0.404404,13.6663,7.30274e-09,-2.06792e-18
0.406406,13.6792,7.39454e-09,2.19061e-18
0.408408,13.6922,7.48634e-09,6.44913e-18
0.41041,13.7048,7.57567e-09,9.76854e-18
0.412412,13.7172,7.66372e-09,1.26022e-17
0.414414,13.7296,7.75177e-09,1.54358e-17
0.416416,13.7421,7.83982e-09,1.82695e-17
0.418418,13.7545,7.92787e-09,2.11031e-17
0.42042,13.7669,8.01592e-09,2.39368e-17
0.422422,13.7793,8.10397e-09,2.67704e-17
0.424424,13.7918,8.19202e-09,2.96041e-17
0.426426,13.8042,8.28007e-09,3.24377e-17
0.428428,13.8166,8.36812e-09,3.52714e-17
0.43043,13.8284,8.49383e-09,3.55186e-17
0.432432,13.8402,8.62244e-09,3.55668e-17
0.434434,13.8519,8.75104e-09,3.5615e-17
0.436436,13.8637,8.87965e-09,3.56632e-17
0.438438,13.8754,9.00825e-09,3.57114e-17
0.44044,13.8872,9.12515e-09,3.62493e-17
0.442442,13.8989,9.20055e-09,3.85234e-17
0.444444,13.9107,9.27595e-09,4.07975e-17
0.446446,13.9224,9.35135e-09,4.30716e-17
0.448448,13.9342,9.42675e-09,4.53457e-17
0.45045,13.9459,9.50215e-09,4.76197e-17
0.452452,13.9577,9.57754e-09,4.98938e-17
0.454454,13.9694,9.65294e-09,5.21679e-17
0.456456,13.9807,9.73024e-09,5.26991e-17
