# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	bottom	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000000e+00	top	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
5.000000e+00	bottom	(-1.193140e-01 -6.202345e-07 -1.550391e-19)	(-1.193084e-01 1.574408e-06 2.778811e-19)
5.000000e+00	top	(-1.193141e-01 -1.575564e-06 -1.459434e-19)	(-1.193085e-01 6.205573e-07 1.914456e-19)
1.000000e+01	bottom	(-3.953086e-01 -7.019275e-07 -4.975069e-19)	(-3.953032e-01 1.788853e-06 7.095097e-19)
1.000000e+01	top	(-3.953134e-01 -1.793008e-06 -5.168848e-19)	(-3.953080e-01 7.044616e-07 8.501838e-19)
1.500000e+01	bottom	(-6.159364e-01 -5.661958e-07 -5.870281e-19)	(-6.159315e-01 1.723070e-06 1.108591e-18)
1.500000e+01	top	(-6.159432e-01 -1.732036e-06 -6.913286e-19)	(-6.159383e-01 5.686200e-07 9.659787e-19)
2.000000e+01	bottom	(-7.439647e-01 -3.672164e-07 -7.507328e-19)	(-7.439615e-01 1.175590e-06 1.098802e-18)
2.000000e+01	top	(-7.439712e-01 -1.181224e-06 -7.179466e-19)	(-7.439680e-01 3.688718e-07 1.547630e-18)
2.500000e+01	bottom	(-8.325602e-01 -2.454434e-07 -7.249430e-19)	(-8.325581e-01 7.977112e-07 1.580359e-18)
2.500000e+01	top	(-8.325652e-01 -8.016282e-07 -1.170154e-18)	(-8.325631e-01 2.463753e-07 1.416173e-18)
3.000000e+01	bottom	(-8.914493e-01 -1.665365e-07 -1.172138e-18)	(-8.914479e-01 5.527534e-07 2.119250e-18)
3.000000e+01	top	(-8.914531e-01 -5.555610e-07 -1.170385e-18)	(-8.914517e-01 1.671811e-07 2.311017e-18)
3.500000e+01	bottom	(-9.307761e-01 -1.136955e-07 -8.664298e-19)	(-9.307751e-01 3.855926e-07 1.424185e-18)
3.500000e+01	top	(-9.307795e-01 -3.878643e-07 -1.569626e-18)	(-9.307785e-01 1.142473e-07 1.427132e-18)
4.000000e+01	bottom	(-9.551667e-01 -8.948796e-08 -8.940625e-19)	(-9.551661e-01 3.156905e-07 1.664424e-18)
4.000000e+01	top	(-9.551699e-01 -3.181774e-07 -9.757881e-19)	(-9.551693e-01 9.004664e-08 1.349659e-18)
4.500000e+01	bottom	(-9.687182e-01 -1.066566e-07 -8.652080e-19)	(-9.687177e-01 1.064306e-07 1.793000e-18)
4.500000e+01	top	(-9.687207e-01 -1.085836e-07 -1.230019e-18)	(-9.687202e-01 1.074046e-07 1.747788e-18)
5.000000e+01	bottom	(-9.770881e-01 -6.026367e-08 -1.187704e-18)	(-9.770879e-01 8.608401e-08 1.861217e-18)
5.000000e+01	top	(-9.770908e-01 -8.782992e-08 -8.305397e-19)	(-9.770906e-01 6.052154e-08 1.001143e-18)
5.500000e+01	bottom	(-9.830166e-01 -1.197292e-07 -8.006879e-19)	(-9.830161e-01 1.618677e-07 1.456073e-18)
5.500000e+01	top	(-9.830190e-01 -1.631556e-07 -1.113477e-18)	(-9.830184e-01 1.195598e-07 1.928978e-18)
6.000000e+01	bottom	(-9.874228e-01 -4.917305e-08 -7.498021e-19)	(-9.874225e-01 1.407410e-07 2.007066e-18)
6.000000e+01	top	(-9.874259e-01 -1.427013e-07 -8.378659e-19)	(-9.874256e-01 4.959901e-08 1.885430e-18)
6.500000e+01	bottom	(-9.909187e-01 -4.140951e-08 -8.149177e-19)	(-9.909185e-01 1.112394e-07 1.708836e-18)
6.500000e+01	top	(-9.909211e-01 -1.130211e-07 -1.100052e-18)	(-9.909209e-01 4.189444e-08 1.311730e-18)
7.000000e+01	bottom	(-9.933044e-01 -3.377164e-08 -9.522533e-19)	(-9.933043e-01 1.276780e-07 1.742413e-18)
7.000000e+01	top	(-9.933067e-01 -1.294358e-07 -9.402570e-19)	(-9.933066e-01 3.410916e-08 1.885626e-18)
7.500000e+01	bottom	(-9.950550e-01 -2.865171e-08 -1.062290e-18)	(-9.950549e-01 1.137152e-07 1.764837e-18)
7.500000e+01	top	(-9.950573e-01 -1.156382e-07 -1.379803e-18)	(-9.950572e-01 2.911803e-08 2.245859e-18)
8.000000e+01	bottom	(-9.963770e-01 -2.729647e-08 -9.075980e-19)	(-9.963769e-01 1.196990e-07 2.423117e-18)
8.000000e+01	top	(-9.963793e-01 -1.215940e-07 -1.136223e-18)	(-9.963792e-01 2.773865e-08 1.549919e-18)
8.500000e+01	bottom	(-9.973271e-01 -2.817453e-08 -1.353475e-18)	(-9.973270e-01 1.175799e-07 2.359655e-18)
8.500000e+01	top	(-9.973294e-01 -1.194944e-07 -1.277613e-18)	(-9.973293e-01 2.863048e-08 1.646124e-18)
9.000000e+01	bottom	(-9.980377e-01 -2.908716e-08 -7.732993e-19)	(-9.980376e-01 1.185587e-07 2.006546e-18)
9.000000e+01	top	(-9.980400e-01 -1.204779e-07 -1.219059e-18)	(-9.980400e-01 2.954267e-08 2.638050e-18)
9.500000e+01	bottom	(-9.985424e-01 -3.009810e-08 -9.021151e-19)	(-9.985423e-01 1.138018e-07 1.727751e-18)
9.500000e+01	top	(-9.985447e-01 -1.157805e-07 -9.605805e-19)	(-9.985446e-01 3.056623e-08 1.781579e-18)
1.000000e+02	bottom	(-9.989370e-01 -2.941416e-08 -1.062569e-18)	(-9.989370e-01 1.178754e-07 1.926596e-18)
1.000000e+02	top	(-9.989394e-01 -1.197989e-07 -1.189429e-18)	(-9.989393e-01 2.989122e-08 1.943720e-18)
1.050000e+02	bottom	(-9.992066e-01 -3.014748e-08 -1.041635e-18)	(-9.992066e-01 1.129476e-07 2.158986e-18)
1.050000e+02	top	(-9.992090e-01 -1.149213e-07 -1.318365e-18)	(-9.992089e-01 3.063110e-08 1.256882e-18)
1.100000e+02	bottom	(-9.994244e-01 -2.971951e-08 -8.726083e-19)	(-9.994244e-01 1.156603e-07 1.474298e-18)
1.100000e+02	top	(-9.994268e-01 -1.175968e-07 -1.951642e-18)	(-9.994267e-01 3.021078e-08 1.688660e-18)
1.150000e+02	bottom	(-9.995748e-01 -2.980514e-08 -6.503262e-19)	(-9.995747e-01 1.150699e-07 1.640418e-18)
1.150000e+02	top	(-9.995771e-01 -1.170054e-07 -1.194004e-18)	(-9.995771e-01 3.030117e-08 2.214121e-18)
1.200000e+02	bottom	(-9.996897e-01 -2.986158e-08 -6.413357e-19)	(-9.996896e-01 1.156125e-07 1.499556e-18)
1.200000e+02	top	(-9.996920e-01 -1.175505e-07 -1.372013e-18)	(-9.996920e-01 3.035349e-08 1.274402e-18)
1.250000e+02	bottom	(-9.997696e-01 -2.991804e-08 -8.845555e-19)	(-9.997695e-01 1.152679e-07 1.373575e-18)
1.250000e+02	top	(-9.997719e-01 -1.172060e-07 -9.770083e-19)	(-9.997718e-01 3.041053e-08 1.609499e-18)
1.300000e+02	bottom	(-9.998281e-01 -2.996108e-08 -8.563604e-19)	(-9.998280e-01 1.149234e-07 1.930061e-18)
1.300000e+02	top	(-9.998305e-01 -1.168626e-07 -1.270052e-18)	(-9.998304e-01 3.045625e-08 2.125295e-18)
