# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	bottom	(-2.559611e+01 0.000000e+00 0.000000e+00)	(-2.559611e+01 0.000000e+00 0.000000e+00)
0.000000e+00	top	(-2.559611e+01 0.000000e+00 0.000000e+00)	(-2.559611e+01 0.000000e+00 0.000000e+00)
1.000000e+00	bottom	(-4.384147e-01 -1.800342e-17 -1.183669e-35)	(-4.384147e-01 -1.800342e-17 -1.183669e-35)
1.000000e+00	top	(-4.384140e-01 9.612286e-21 -8.133943e-55)	(-4.384140e-01 9.612286e-21 -8.133943e-55)
2.000000e+00	bottom	(-3.515013e-01 -1.783476e-17 -3.132871e-35)	(-3.515013e-01 -1.783476e-17 -3.132871e-35)
2.000000e+00	top	(-3.515004e-01 1.362399e-20 -1.176097e-46)	(-3.515004e-01 1.362399e-20 -1.176097e-46)
3.000000e+00	bottom	(-3.210170e-01 -2.123464e-17 -1.707419e-35)	(-3.210170e-01 -2.123464e-17 -1.707419e-35)
3.000000e+00	top	(-3.210156e-01 1.781406e-20 -3.759189e-44)	(-3.210156e-01 1.781406e-20 -3.759189e-44)
4.000000e+00	bottom	(-3.078770e-01 -2.200594e-17 -2.391370e-35)	(-3.078770e-01 -2.200594e-17 -2.391370e-35)
4.000000e+00	top	(-3.078767e-01 1.736421e-20 -5.601376e-43)	(-3.078767e-01 1.736421e-20 -5.601376e-43)
5.000000e+00	bottom	(-3.112997e-01 -2.265174e-17 -7.125073e-35)	(-3.112997e-01 -2.265174e-17 -7.125073e-35)
5.000000e+00	top	(-3.113068e-01 1.853029e-20 -3.666816e-42)	(-3.113068e-01 1.853029e-20 -3.666816e-42)
6.000000e+00	bottom	(-5.042868e-01 -1.899343e-17 -1.581389e-35)	(-5.042868e-01 -1.899343e-17 -1.581389e-35)
6.000000e+00	top	(-5.050924e-01 3.283154e-20 -6.223757e-41)	(-5.050924e-01 3.283154e-20 -6.223757e-41)
7.000000e+00	bottom	(-8.560886e-01 -2.277337e-17 -6.294448e-35)	(-8.560886e-01 -2.277337e-17 -6.294448e-35)
7.000000e+00	top	(-8.560486e-01 7.378919e-20 -4.019318e-40)	(-8.560486e-01 7.378919e-20 -4.019318e-40)
8.000000e+00	bottom	(-8.954775e-01 -2.292237e-17 -2.946808e-35)	(-8.954775e-01 -2.292237e-17 -2.946808e-35)
8.000000e+00	top	(-8.954696e-01 8.080175e-20 -8.663355e-40)	(-8.954696e-01 8.080175e-20 -8.663355e-40)
9.000000e+00	bottom	(-9.219294e-01 -2.343397e-17 -3.261079e-35)	(-9.219294e-01 -2.343397e-17 -3.261079e-35)
9.000000e+00	top	(-9.218872e-01 8.950785e-20 -3.749344e-39)	(-9.218872e-01 8.950785e-20 -3.749344e-39)
1.000000e+01	bottom	(-9.214451e-01 -2.576475e-17 -6.082536e-35)	(-9.214451e-01 -2.576475e-17 -6.082536e-35)
1.000000e+01	top	(-9.214175e-01 8.817658e-20 -2.428597e-38)	(-9.214175e-01 8.817658e-20 -2.428597e-38)
1.100000e+01	bottom	(-9.225154e-01 -2.700439e-17 -4.725638e-35)	(-9.225154e-01 -2.700439e-17 -4.725638e-35)
1.100000e+01	top	(-9.225172e-01 7.891299e-20 -6.331768e-38)	(-9.225172e-01 7.891299e-20 -6.331768e-38)
1.200000e+01	bottom	(-9.275800e-01 -3.023300e-17 -3.847176e-35)	(-9.275800e-01 -3.023300e-17 -3.847176e-35)
1.200000e+01	top	(-9.276041e-01 6.735535e-20 -1.116435e-37)	(-9.276041e-01 6.735535e-20 -1.116435e-37)
1.300000e+01	bottom	(-9.344193e-01 -3.015322e-17 -3.404796e-35)	(-9.344193e-01 -3.015322e-17 -3.404796e-35)
1.300000e+01	top	(-9.344464e-01 4.740470e-20 -1.645464e-37)	(-9.344464e-01 4.740470e-20 -1.645464e-37)
1.400000e+01	bottom	(-9.411053e-01 -3.528115e-17 -3.201419e-35)	(-9.411053e-01 -3.528115e-17 -3.201419e-35)
1.400000e+01	top	(-9.411278e-01 3.143831e-20 -2.209286e-37)	(-9.411278e-01 3.143831e-20 -2.209286e-37)
1.500000e+01	bottom	(-9.467763e-01 -3.747232e-17 -4.349467e-35)	(-9.467763e-01 -3.747232e-17 -4.349467e-35)
1.500000e+01	top	(-9.468163e-01 1.041294e-20 -2.806821e-37)	(-9.468163e-01 1.041294e-20 -2.806821e-37)
1.600000e+01	bottom	(-9.518659e-01 -3.488239e-17 -4.158330e-35)	(-9.518659e-01 -3.488239e-17 -4.158330e-35)
1.600000e+01	top	(-9.519000e-01 -1.592674e-20 -3.435635e-37)	(-9.519000e-01 -1.592674e-20 -3.435635e-37)
1.700000e+01	bottom	(-9.564036e-01 -3.835516e-17 -2.715161e-35)	(-9.564036e-01 -3.835516e-17 -2.715161e-35)
1.700000e+01	top	(-9.564353e-01 -3.899217e-20 -4.084979e-37)	(-9.564353e-01 -3.899217e-20 -4.084979e-37)
1.800000e+01	bottom	(-9.604287e-01 -3.518967e-17 -3.921605e-35)	(-9.604287e-01 -3.518967e-17 -3.921605e-35)
1.800000e+01	top	(-9.604597e-01 -6.856315e-20 -4.740259e-37)	(-9.604597e-01 -6.856315e-20 -4.740259e-37)
1.900000e+01	bottom	(-9.640684e-01 -3.587024e-17 -4.282270e-35)	(-9.640684e-01 -3.587024e-17 -4.282270e-35)
1.900000e+01	top	(-9.640978e-01 -9.649955e-20 -5.391909e-37)	(-9.640978e-01 -9.649955e-20 -5.391909e-37)
2.000000e+01	bottom	(-9.673815e-01 -4.025957e-17 -4.000221e-35)	(-9.673815e-01 -4.025957e-17 -4.000221e-35)
2.000000e+01	top	(-9.674093e-01 -1.094609e-19 -6.032883e-37)	(-9.674093e-01 -1.094609e-19 -6.032883e-37)
2.100000e+01	bottom	(-9.703975e-01 -4.025055e-17 -4.406430e-35)	(-9.703975e-01 -4.025055e-17 -4.406430e-35)
2.100000e+01	top	(-9.704233e-01 -1.171937e-19 -6.656867e-37)	(-9.704233e-01 -1.171937e-19 -6.656867e-37)
2.200000e+01	bottom	(-9.731395e-01 -3.615215e-17 -5.617685e-35)	(-9.731395e-01 -3.615215e-17 -5.617685e-35)
